SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-1-2018,Condo/Co-op,20 Beacon,Boston,MA,02108,5300000,3,4.0,Beacon Hill,3672,,1899,4,1443,1295,Sold,,,http://www.redfin.com/MA/Boston/20-Beacon-St-02467/unit-6/home/9280310,MLS PIN,72285907,N,Y,42.3315406,-71.158475
PAST SALE,July-18-2018,Condo/Co-op,25 Englewood Ave #3,Brookline,MA,02445,575000,2,1.0,Brookline,792,,1945,18,726,553,Sold,,,http://www.redfin.com/MA/Brookline/25-Englewood-Ave-02445/unit-3/home/11456596,MLS PIN,72322709,N,Y,42.338511,-71.145394
PAST SALE,July-30-2018,Single Family Residential,105 Holden Rd,Paxton,MA,01612,320000,2,2.0,Paxton,1586,87007,1958,6,202,,Sold,,,http://www.redfin.com/MA/Brighton/1612-Commonwealth-Ave-02135/home/16582109,MLS PIN,72334141,N,Y,42.3433526,-71.1426453
PAST SALE,June-29-2018,Single Family Residential,181 Chiswick Rd,Boston,MA,02135,875000,4,2.0,Brighton,1716,3049,1926,37,510,,Sold,,,http://www.redfin.com/MA/Brighton/181-Chiswick-Rd-02135/home/9036682,MLS PIN,72319893,N,Y,42.3417327,-71.1561542
PAST SALE,June-7-2018,Condo/Co-op,18 Armandine St #2,Boston,MA,02124,494900,2,2.0,Dorchester,1009,6000,1910,59,490,189,Sold,,,http://www.redfin.com/MA/Boston/18-Armandine-St-02124/unit-2/home/145512236,MLS PIN,72316088,N,Y,42.2844768,-71.0725958
PAST SALE,June-7-2018,Condo/Co-op,18 Armandine St #3,Boston,MA,02124,515000,2,2.0,Dorchester,1002,6000,1910,59,514,189,Sold,,,http://www.redfin.com/MA/Boston/18-Armandine-St-02124/unit-3/home/145512214,MLS PIN,72316086,N,Y,42.2844768,-71.0725958
PAST SALE,June-15-2018,Condo/Co-op,719 Washington St #302,Boston,MA,02124,499000,3,2.0,Dorchester,1036,,2017,51,482,360,Sold,,,http://www.redfin.com/MA/Boston/719-Washington-St-02124/unit-302/home/144863029,MLS PIN,72280422,N,Y,42.2862217,-71.0714764
PAST SALE,June-1-2018,Single Family Residential,34 Longfellow,Boston,MA,02122,530000,3,2.0,Dorchester,1671,3600,1920,65,317,,Sold,,,http://www.redfin.com/MA/Dorchester/34-Longfellow-St-02122/home/9080834,MLS PIN,72311953,N,Y,42.3030268,-71.0654462
PAST SALE,,Multi-Family (2-4 Unit),59 Bailey St Unit 59A,Boston,MA,02124,671000,8,3.0,,3450,4857,1900,,194,,,,,http://www.redfin.com/MA/Boston/59-Bailey-St-02124/unit-59A/home/9096672,,,N,Y,42.2843286,-71.0665815
PAST SALE,,Multi-Family (2-4 Unit),9 Kenberma Rd,Boston,MA,02124,500000,6,3.0,,3450,2941,1920,,145,,,,,http://www.redfin.com/MA/Boston/9-Kenberma-Rd-02124/home/9067052,,,N,Y,42.2959397,-71.0726887
PAST SALE,June-5-2018,Single Family Residential,5 Nottingham St,Boston,MA,02121,350000,6,2.0,Boston,2965,5070,1895,61,118,,Sold,,,http://www.redfin.com/MA/Dorchester/5-Nottingham-St-02121/home/9076410,MLS PIN,72315991,N,Y,42.3007675,-71.0731065
PAST SALE,July-12-2018,Condo/Co-op,1906-1918 Dorchester Ave #506,Boston,MA,02124,455000,2,1.0,Dorchester,1002,1002,2008,24,454,498,Sold,,,http://www.redfin.com/MA/Boston/1918-Dorchester-Ave-02124/unit-506/home/145891117,MLS PIN,72336557,N,Y,42.2838822,-71.0646334
PAST SALE,June-21-2018,Single Family Residential,32 Valley Rd,Boston,MA,02124,510000,2,1.0,Lower Mills,1244,5500,1950,45,410,,Sold,,,http://www.redfin.com/MA/Boston/32-Valley-Rd-02124/home/9102375,MLS PIN,72323207,N,Y,42.2773596,-71.0681389
PAST SALE,June-22-2018,Single Family Residential,17 Montague St,Boston,MA,02124,700000,6,3.0,Dorchester's Ashmont,2361,4000,1910,44,296,,Sold,,,http://www.redfin.com/MA/Boston/17-Montague-St-02124/home/9092800,MLS PIN,72323303,N,Y,42.2856338,-71.0702281
PAST SALE,July-12-2018,Single Family Residential,5 Stone Ter,Boston,MA,02124,640000,7,3.0,Dorchester between Lower Mills and Ashmont,2188,5350,1940,24,293,,Sold,,,http://www.redfin.com/MA/Boston/5-Stone-Ter-02124/home/9100799,MLS PIN,72309759,N,Y,42.2787028,-71.0686032
