SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3 Bond St,Boston,MA,02118,1640000,3,2.0,8 Streets Neighborhood,1942,724,1840,111,844,,Active,,,http://www.redfin.com/MA/Boston/3-Bond-St-02118/home/9280928,MLS PIN,72309298,N,Y,42.343558,-71.069063
MLS Listing,,Multi-Family (2-4 Unit),716-718 Adams St,Boston,MA,02122,849000,6,3.5,Boston,3456,3891,1927,113,246,,Active,,,http://www.redfin.com/MA/Boston/716-Adams-St-02122/home/9101317,MLS PIN,72309062,N,Y,42.2850952,-71.054864
MLS Listing,,Multi-Family (2-4 Unit),11 Knox St,Boston,MA,02116,2385000,4,3.5,Bay Village,3000,863,1890,113,795,,Active,,,http://www.redfin.com/MA/Boston/11-Knox-St-02116/home/9263238,MLS PIN,72309021,N,Y,42.348701,-71.068498
MLS Listing,,Condo/Co-op,205 W Eighth St #5,Boston,MA,02127,939000,2,2.0,South Boston,1226,2465,2018,113,766,250,Active,,,http://www.redfin.com/MA/Boston/205-W-8th-St-02127/unit-5/home/145316631,MLS PIN,72309006,N,Y,42.333169,-71.051692
MLS Listing,,Condo/Co-op,188 Brookline Ave Ph 28D,Boston,MA,02215,4704300,3,3.0,The Fenway,2344,,2018,114,2007,2993,Active,,,http://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-28D/home/145312574,MLS PIN,72308716,N,Y,42.3437734,-71.1017218
MLS Listing,,Condo/Co-op,65 E India Row Unit 8B,Boston,MA,02110,1175000,2,2.5,Waterfront,1643,1643,1970,114,715,1284,Active,,,http://www.redfin.com/MA/Boston/65-E-India-Row-02110/unit-8B/home/9260695,MLS PIN,72308384,N,Y,42.3576699,-71.0504859
MLS Listing,,Vacant Land,0 Rockwood St,Boston,MA,02130,3500000,,,Jamaica Plain,,126324,,115,,,Active,,,http://www.redfin.com/MA/Boston/0-Rockwood-St-02130/home/145712039,MLS PIN,72308195,N,Y,42.3118618,-71.1276675
MLS Listing,,Condo/Co-op,1 Leonard Pl #5,Boston,MA,02127,999000,2,2.0,South Boston,1227,4171,2018,115,814,377,Active,,,http://www.redfin.com/MA/Boston/1-Leonard-Pl-02127/unit-5/home/145308906,MLS PIN,72308119,N,Y,42.3344256,-71.0315524
MLS Listing,,Condo/Co-op,357 Commercial St #14,Boston,MA,02109,575000,1,1.0,North End,794,,1901,115,724,312,Active,,,http://www.redfin.com/MA/Boston/357-Commercial-St-02109/unit-14/home/9230130,MLS PIN,72307817,N,Y,42.3661069,-71.0505699
MLS Listing,,Condo/Co-op,126 Commonwealth #2,Boston,MA,02116,1595000,2,2.0,Back Bay,1302,,1871,115,1225,568,Active,,,http://www.redfin.com/MA/Boston/126-Commonwealth-Ave-02116/unit-2/home/9236148,MLS PIN,72307804,N,Y,42.351698,-71.0770963
